Torneio 1,1,1019-05-07T22:15:27.675153Z,2999-09-07T22:15:27.675153Z
Torneio 2,1,1020-05-07T22:15:27.675153Z,3000-09-07T22:15:27.675153Z
Torneio 3,1,1021-05-07T22:15:27.675153Z,3001-09-07T22:15:27.675153Z
Torneio 4,1,1022-05-07T22:15:27.675153Z,3002-09-07T22:15:27.675153Z
Torneio 5,1,1023-05-07T22:15:27.675153Z,3003-09-07T22:15:27.675153Z
Torneio 6,1,1024-05-07T22:15:27.675153Z,3004-09-07T22:15:27.675153Z
Torneio 7,1,1025-05-07T22:15:27.675153Z,3005-09-07T22:15:27.675153Z
Torneio 8,1,1026-05-07T22:15:27.675153Z,3006-09-07T22:15:27.675153Z
Torneio 9,1,1027-05-07T22:15:27.675153Z,3007-09-07T22:15:27.675153Z
Torneio 10,1,1028-05-07T22:15:27.675153Z,3008-09-07T22:15:27.675153Z
Torneio 11,1,1029-05-07T22:15:27.675153Z,3009-09-07T22:15:27.675153Z
Torneio 12,1,1030-05-07T22:15:27.675153Z,3010-09-07T22:15:27.675153Z
Torneio 13,1,1031-05-07T22:15:27.675153Z,3011-09-07T22:15:27.675153Z
Torneio 14,1,1032-05-07T22:15:27.675153Z,3012-09-07T22:15:27.675153Z
Torneio 15,1,1033-05-07T22:15:27.675153Z,3013-09-07T22:15:27.675153Z
Torneio 16,1,1034-05-07T22:15:27.675153Z,3014-09-07T22:15:27.675153Z
Torneio 17,1,1035-05-07T22:15:27.675153Z,3015-09-07T22:15:27.675153Z
Torneio 18,1,1036-05-07T22:15:27.675153Z,3016-09-07T22:15:27.675153Z
Torneio 19,1,1037-05-07T22:15:27.675153Z,3017-09-07T22:15:27.675153Z
Torneio 20,1,1038-05-07T22:15:27.675153Z,3018-09-07T22:15:27.675153Z
Torneio 21,1,1039-05-07T22:15:27.675153Z,3019-09-07T22:15:27.675153Z
Torneio 22,1,1040-05-07T22:15:27.675153Z,3020-09-07T22:15:27.675153Z
Torneio 23,1,1041-05-07T22:15:27.675153Z,3021-09-07T22:15:27.675153Z
